AccX,AccY,AccZ
9.603728943,1.030307465,-1.955084381
9.477391663,0.9698332214,-1.945204926
9.500593414,1.031504974,-1.980531464
9.594897308,1.031355286,-1.895059204
9.428892517,1.031355286,-1.873504028
9.452992401,1.107995911,-2.037712555
9.633217621,1.328936462,-1.936373291
9.504335632,1.471589813,-1.914069672
9.571994934,1.674867096,-1.961970062
9.459878082,1.883682861,-1.990859985
9.540111237,2.190544739,-1.961670685
9.38174057,2.293081512,-1.779050446
9.37126236,2.476150818,-1.870210876
9.401200104,2.476450195,-1.891616364
9.35838913,2.583627319,-1.803000641
9.272617493,2.68646347,-1.847757568
9.403595123,2.47001358,-1.721270599
9.418713684,2.505340118,-1.856140137
9.446855164,2.562820587,-1.794318695
9.461225281,2.56252121,-1.818418579
9.493108978,2.579136658,-1.854044495
9.397607574,2.675835571,-1.718576202
9.430688782,2.737657013,-1.91077652
9.169481964,2.615361328,-1.820963287
9.530830536,2.696791992,-1.644330597
9.601483612,2.517315216,-1.699865112
9.44490921,2.638114014,-1.715133362
9.462273102,2.678829346,-1.551224213
9.327403564,2.638413391,-1.524429932
9.427844696,2.511776733,-1.663790131
9.440418549,2.521207123,-1.9681073
9.402098236,2.606080627,-1.802850952
9.267827454,2.442470856,-1.790127411
9.460776215,2.605032806,-1.540446625
9.316476288,2.486629028,-1.551972656
9.321715393,2.404150543,-1.611698456
9.527687073,2.454745331,-1.680555267
9.474846954,2.474504242,-1.676962738
9.637408905,2.385140076,-1.867366791
9.545649719,2.342029724,-1.894011383
9.438622284,2.40804245,-1.856439514
9.587562561,2.367776184,-1.659748535
9.31033905,2.492167511,-1.948797455
9.416917419,2.449655914,-1.640887756
9.411828003,2.500999146,-1.759890289
9.443262634,2.47121109,-1.602866821
9.571994934,2.525548096,-1.847757568
10.0036972,2.411485291,-1.963616638
9.312584381,2.443518677,-2.01376236
9.309440918,2.392624512,-1.941313019
9.461075592,2.318079529,-1.674867096
9.501192169,2.341880035,-1.504970398
9.312285004,2.223326569,-1.491498413
9.515861664,2.223027191,-1.628164215
9.34312088,2.257754974,-1.860032043
9.42155777,2.053878937,-2.013462982
9.442813568,2.00313446,-2.256407776
10.11476624,1.960772552,-1.88622757
9.866432648,1.975442047,-1.952240295
9.594148865,1.832788696,-1.869163055
9.73515564,1.968855743,-1.536554718
9.398206329,1.761836243,-1.542691956
9.225465546,1.809137878,-1.67561554
9.452543335,1.671274567,-1.719474335
9.621691589,1.383572845,-1.843117218
9.445358276,1.498533783,-1.973196716
9.869127045,1.669029236,-2.009271698
9.92585907,1.971101074,-2.047891388
9.424102478,2.085612946,-2.33319809
9.564211121,1.876946869,-2.280807037
9.627529449,1.826801147,-2.387984161
9.323062592,1.760039978,-1.939067688
9.679022369,1.669927368,-1.517693939
9.483379211,1.877246246,-1.184636536
9.260941772,1.731898499,-1.307830353
9.344767456,1.582658844,-1.524130554
8.976533203,1.719474335,-2.010918274
9.58651474,1.659598846,-2.575693817
10.26580215,1.70719986,-2.463427277
9.666598206,1.855990448,-2.83630188
9.802814941,1.69776947,-2.344724121
9.053922272,1.784738617,-2.245031433
9.124425659,1.591191101,-1.932481384
8.542286224,1.745220795,-1.498234406
9.250762939,1.592687988,-1.520538025
9.92346405,1.754651184,-1.228794708
9.839488678,1.673070831,-2.161355438
9.927805023,1.646575928,-2.643053741
9.580078125,1.810485077,-2.930156708
9.243577881,1.489103394,-2.285896454
9.011111298,1.438957672,-1.669178925
9.244625702,1.464554443,-1.23672821
9.350755005,1.481020203,-1.106049957
9.598789215,1.56439682,-1.575773163
9.449399872,1.643432465,-1.880838776
9.432634735,1.673070831,-2.431543579
9.947414246,1.332528992,-2.17168396
9.724677429,1.213227081,-2.013013916
9.637857971,0.9598040771,-1.937421112
9.661658478,0.7086264038,-1.554367676
9.287286987,0.9481283569,-1.635948029
9.091045074,1.022823029,-2.184856567
9.712103577,0.9237290955,-2.067350922
10.25502457,1.022373962,-2.280657349
10.32552795,0.8303233337,-1.96571228
10.29454239,0.7661068726,-1.695673828
9.59819046,1.085243225,-1.827399902
8.956923981,0.6810836792,-1.884880371
8.976233826,0.7021897888,-1.63924118
9.354048157,0.3366499329,-1.560654602
9.056916046,0.689765625,-1.768422546
9.458680573,0.5923182678,-2.176174622
9.856403503,0.2818638611,-1.735640717
9.779912567,0.3267704773,-2.701432343
9.934091949,0.2305206299,-2.366279297
9.4437117,-0.008083190918,-2.196831665
9.135053558,0.4622387695,-1.891017609
8.775501251,0.2894979858,-1.682351532
9.162446594,0.3854484558,-1.960922241
9.257349243,0.5513035583,-2.03950882
10.62280975,0.40251297,-2.44546463
9.624685364,0.5712121582,-2.665806427
9.571695557,0.639919281,-2.179767151
9.544452209,0.4272116089,-2.088007965
8.94644577,0.5421725464,-2.186952209
9.423354034,0.3152444458,-1.762285309
9.732910309,0.2074685669,-1.592388611
9.395062866,0.5757028198,-1.785786438
9.720186768,0.6267466736,-1.620829468
9.595496063,0.8979826355,-2.32960556
9.229507141,0.8918453979,-2.479593658
10.03438339,0.9375004578,-1.881587219
9.662257233,0.8542735291,-2.281256104
9.716594238,1.002615051,-1.967209167
9.166637878,0.8649014282,-2.186952209
9.154064026,0.895587616,-2.010319519
9.663454742,0.7963439941,-1.960323486
9.393865356,0.7797285461,-2.21374649
9.517208862,0.993633728,-1.72351593
9.120982819,0.9512718201,-1.964215393
9.574389954,1.062789917,-2.008223877
9.167086945,0.9583071899,-2.12138855
9.408385162,0.9776170349,-1.916764069
9.651329956,1.053359528,-2.057471466
9.827812958,0.8753796387,-2.18919754
9.363777924,1.096469879,-2.04175415
9.252409515,0.8813671875,-1.778451691
9.6321698,0.7951464844,-2.163002014
9.998158722,0.4980143738,-1.56679184
9.384434967,0.8072712708,-2.350412292
9.818382568,1.128353577,-2.252066803
9.80535965,0.4489164734,-2.799628143
8.492140503,1.332528992,-2.607577515
8.720116425,0.5544470215,-2.036065979
9.508676605,0.6234535217,-2.292333069
10.14111145,1.475631409,-1.999092865
9.43323349,0.4086502075,-3.394191742
9.962682495,0.6950047302,-2.978805542
10.03483246,0.07978408813,-3.389551392
8.866362305,0.8449928284,-3.456312561
8.175848236,0.8307723999,-3.170257416
8.66802475,0.4258644104,-2.603685608
9.320068817,1.396446075,-2.270628204
9.94576767,0.4334985352,-3.459306335
8.906778259,0.6010002136,-2.878813477
10.20218445,0.6701564026,-2.841990051
9.946965179,0.6514453125,-3.193010101
8.598419495,0.5062472534,-3.659589844
8.376580811,0.8845106506,-3.762425995
8.371790771,0.1727407837,-2.826422424
8.68209549,0.5656736755,-3.137924652
10.12075378,0.3128494263,-2.691103821
9.592651978,0.06526428223,-2.606230316
9.836195526,0.365539856,-2.579885101
9.416318665,0.3466790771,-3.111579437
8.892557831,0.427660675,-3.488495636
9.210496674,0.1246907043,-3.623065796
8.391250305,-0.04520599365,-3.409909058
8.760831757,0.1068777466,-3.041674805
9.204509125,0.3218307495,-2.487377472
9.624236298,0.4769082642,-2.6303302
9.375303955,0.3451821899,-2.860701141
9.606872406,0.2201921082,-3.07849823
9.310488739,0.1176553345,-3.473526764
9.091494141,0.4093986511,-4.244423676
9.144783325,0.2173480225,-4.697531433
8.892857208,0.3650907898,-4.10461441
9.081764374,-0.02754272461,-3.575913849
