AccX,AccY,AccZ
0.2612068176,-4.199666748,-2.069596252
1.564696198,0.2691403198,-2.196083221
0.8650511169,-1.651665344,2.43842926
-10.75992462,-49.9803154,-6.735543365
-6.234984283,-10.46473846,1.031055908
-3.905079346,-3.253634033,2.874322815
-0.3800596619,-0.09071136475,1.424886932
1.567689972,-1.127156067,-2.46073288
-1.401385803,-3.948339386,2.905757446
-13.9161113,-14.06669815,3.954476624
-11.58620636,-10.02749771,3.202440491
-8.889713745,-9.447004852,1.322499847
-7.348368988,-10.18018021,-5.455704803
-1.176403656,-1.410217438,-1.577868805
1.757944336,0.1529818726,1.018781433
-0.4484674072,-2.368075562,0.5098397827
-27.62849625,-34.00493637,0.1202000427
-6.360273743,-5.733227692,1.06009552
-6.803651733,-3.014730835,3.025658112
-0.933608551,1.078207855,1.439855804
5.243745575,2.251468048,-25.38211761
-0.5031037903,-0.7214996338,1.0683284
-34.35101669,-11.89202042,8.074508972
-13.07186691,-4.408632202,2.063908081
-16.60257477,-12.99178345,4.988975372
-8.372838593,-13.36810089,-6.926246796
0.6279441833,-1.137185211,-2.459086304
2.192341003,-0.7509883118,-1.496438141
-2.423759766,-5.3602034,1.271605682
-33.47054764,-40.99959091,-5.159321136
-9.105265503,-7.329957275,-0.06152206421
-4.409081268,-2.284549255,6.21193222
1.483115845,2.364183655,2.301015015
3.90463028,-2.665956116,-15.10299316
-0.7259902954,-0.04176315308,1.341660004
-37.08148865,-21.86607925,15.88182358
-15.0202153,-6.183641052,-29.25022385
-11.17590958,-14.50453766,1.248104553
-6.595135345,-8.322692871,-6.725514221
0.2665956116,-0.3844006348,0.2276765442
1.884431305,-0.562230835,2.534679108
0.6505471802,-2.567910004,1.125210114
-31.01445511,-43.78425018,8.051905975
-11.85729263,-4.054468689,-2.541564789
-3.803590393,-3.205284576,4.875062256
0.9806108093,0.4355941772,3.356170807
4.974305878,-3.122656403,-27.80527863
-0.1781295776,-0.5492079163,1.170416107
-35.54164078,-19.97371445,9.930200043
-14.34377197,-4.586911469,-4.805756378
-12.87667282,-9.863139496,3.522774353
-10.5346431,-14.44840439,-4.309089203
-0.2983296204,-2.402054901,-3.967050476
2.551593933,-1.046473846,1.951342163
2.411634979,-1.48955246,1.819316711
-9.471404114,-17.70578064,-9.803563385
-22.62709671,-20.64686462,-5.940396881
-5.225932617,-3.260819092,1.082848206
-0.8696914673,-1.208287354,4.537663879
0.4499642944,1.694925385,3.924239502
0.7732919312,-1.7902771,-0.6834786987
-1.036145325,-0.3556604004,0.5496569824
-47.85144241,-19.62359253,12.20891144
-16.06354568,-11.4303804,2.792742462
-8.158634033,-11.57288406,-21.82880676
-2.136207733,-3.761378174,-5.747148743
1.7995578,-0.5583389282,0.3146456909
2.325563965,-0.6240522766,1.505419464
-12.27058319,-21.61609909,-18.19945404
-20.07714935,-15.328125,-2.243384857
-6.244564362,-1.033899994,0.895587616
-0.9767189026,0.359103241,3.484603729
1.000818787,1.774559784,2.092199249
0.2803669739,-3.081941071,-1.007854156
-2.163900146,-0.4888833618,2.081421661
-27.82473816,-14.53402634,8.094417572
-13.87824005,-11.08654541,4.343816986
-9.826914825,-11.62916702,-16.04258926
-2.832409973,-4.135450287,-3.071163483
1.248553619,-0.853225708,0.132923584
4.406835938,-1.316063232,-3.544928284
