AccX,AccY,AccZ
-5.259163513,0.4370910645,-3.485950928
-2.31328949,-10.61053528,-2.506088562
-1.943857727,-7.892337799,-2.489024048
-3.784579926,-7.030280457,-5.167254639
-2.589614868,-9.307494965,-2.087259521
-3.793261871,-9.200317841,-0.259410553
-3.258873138,-17.39637405,-7.103478241
-6.330485687,-9.795180817,-0.8726852417
-0.06631210327,-12.09724365,0.07903564453
2.414029999,-11.15824631,-3.706592102
-0.1695973206,-7.138355713,-1.284029846
-2.660118256,-9.088949432,-2.749482422
-3.081342316,-6.159241791,-2.902314606
-5.635780334,-9.64504303,-2.386636963
-0.1642085266,-7.897277527,-2.42211319
0.1583706665,-9.339378662,-3.150049438
-0.7390132141,-9.120084686,-4.435725861
-4.175866241,-7.050787811,-5.139562225
-5.844895477,-10.56817337,-5.818999329
-2.877915344,-13.2538884,-3.226839752
-4.469555511,-7.483088837,-1.219064941
-4.705914001,-3.315754852,-2.603685608
-3.12175827,-4.539160767,-1.041085052
-1.259181519,-5.813161469,-0.2433938599
-3.464994507,-10.78252762,-7.839946747
-3.939208374,-11.35703293,-3.776646423
-6.159092102,-9.243428192,-0.7373666382
-3.973038025,-16.28044464,-2.154918823
-1.956880646,-9.004674683,-0.940045166
-0.9262738037,-10.74450668,-0.04864883423
0.7912545776,-6.079906769,-2.666854248
-1.178349609,-5.587730255,-2.883753204
-4.037104797,-10.59377014,-1.254840546
-0.8077203369,-6.920708313,-6.275400238
-0.7909552002,-10.66786606,-1.533111877
-2.947071533,-7.410789185,-7.971223755
-1.42638382,-7.34926712,-2.485132141
-2.751278687,-11.77062286,-7.417674866
-3.845952301,-13.69726639,-1.937870178
-4.114942932,-1.251248016,-1.682201843
-4.871320038,-10.6301445,-1.356778564
-2.967728577,-6.177803192,-2.797831879
-4.942122803,-9.956545258,-7.116201782
-2.949167175,-8.121361542,-3.841162262
-1.951641541,-7.722291412,-2.357447662
-3.418441315,-12.83595749,-0.8812174988
-6.590345306,-14.50977676,-2.637664948
-1.398392029,-5.820795593,0.03532653809
-0.4697232056,-15.10688507,1.327439575
