AccX,AccY,AccZ
-1.572929077,-8.269403687,0.9134005737
-2.027533722,-9.684111786,1.010249176
-1.514251099,-10.41294617,0.5328918457
-1.676064606,-10.26460464,0.562230835
-1.863474884,-10.8000412,-0.3161425781
-1.185085602,-11.67287613,0.1919009399
-0.6051914978,-9.516909485,-0.5649252319
-1.107696533,-9.249266052,1.318458252
-2.570604401,-10.47776138,1.690883789
-3.693868561,-10.8305777,2.027982788
-2.665656738,-8.471483459,-2.678529968
-2.850971375,-9.276509399,-0.673150177
-2.841990051,-6.978188782,-1.532213745
-3.204236755,-6.336323547,-3.20139267
-1.753603363,-9.525890808,-3.643573151
-1.909429321,-10.72923843,-5.468128967
-4.191433868,-8.212671661,-3.936963043
-3.567980347,-8.304580536,-0.9220825195
-4.128714294,-13.10240341,-7.458240509
-3.305426331,-4.601730652,0.5843847656
-3.751199341,-11.57812317,-0.4819976807
-1.414558411,-8.797655182,-0.04445755005
-1.520238647,-8.824299774,1.20170105
-1.513053589,-11.00092346,1.066232758
-1.21577179,-9.463320923,0.3493734741
-1.065035248,-8.832083588,0.6414161682
-1.62053009,-9.980046387,0.9213340759
-1.752854919,-8.450077972,0.9062155151
-2.425406342,-9.773925018,1.186881866
-1.784738617,-9.996512146,0.9178912354
-0.4029620361,-11.06154739,-0.7694000244
-1.233884125,-12.05847427,-0.89394104
-0.6057902527,-12.11191315,0.2100132751
-1.241069183,-10.43360321,0.9626481628
-2.71340744,-11.3321846,1.64867157
-3.272045746,-10.41833496,3.303181
-1.877096558,-7.262597351,-1.70360733
-1.959724731,-8.533304901,0.01945953369
-2.701132965,-6.122118988,-0.8903485107
-2.90066803,-7.401807861,-5.104834442
-1.861678619,-10.3249292,-4.555327148
-2.769840088,-11.05600891,-6.213878174
-5.8246875,-8.784632263,-3.136727142
-4.51416275,-7.654781799,2.351460114
-3.159629517,-8.549171906,1.987566833
-2.389181671,-12.36353989,2.099533997
-0.8283773804,-8.662635956,0.6430627441
-0.0904119873,-8.649014282,-0.4436773682
-0.5968089294,-9.372310181,0.6111790466
-1.102607117,-7.97885788,0.8807684326
-2.171085205,-9.237440643,0.7982899475
-1.544338531,-12.18376373,-3.767515411
-1.52113678,-13.2604747,-1.025517426
-1.263372803,-12.48344055,-1.798659668
-1.155447235,-15.66237991,2.257605286
-2.765499115,-11.96940948,3.904330902
-2.897973633,-4.246519318,-1.133892059
-1.529070282,-5.937852173,-0.2324665833
-2.503094788,-4.597689056,0.9550140381
-2.875969391,-11.72871002,-10.33615585
-2.602338409,-13.40282867,-9.573192444
-3.546425171,-6.552024994,-2.354004822
-5.555996246,-10.20562729,2.399210815
-3.667373657,-8.227191467,1.81243103
